Algorithm,DataType,Size,TimeMs,Correct
QuickSort_Standard,RANDOM,100,0.009,true
QuickSort_Hybrid,RANDOM,100,0.006,true
QuickSort_Standard,SORTED,100,0.009,true
QuickSort_Hybrid,SORTED,100,0.003,true
QuickSort_Standard,REVERSED,100,0.008,true
QuickSort_Hybrid,REVERSED,100,0.006,true
QuickSort_Standard,NEARLY_SORTED,100,0.007,true
QuickSort_Hybrid,NEARLY_SORTED,100,0.004,true
QuickSort_Standard,FEW_UNIQUE,100,0.012,true
QuickSort_Hybrid,FEW_UNIQUE,100,0.006,true
QuickSort_Standard,RANDOM,500,0.055,true
QuickSort_Hybrid,RANDOM,500,0.044,true
QuickSort_Standard,SORTED,500,0.042,true
QuickSort_Hybrid,SORTED,500,0.025,true
QuickSort_Standard,REVERSED,500,0.045,true
QuickSort_Hybrid,REVERSED,500,0.034,true
QuickSort_Standard,NEARLY_SORTED,500,0.049,true
QuickSort_Hybrid,NEARLY_SORTED,500,0.039,true
QuickSort_Standard,FEW_UNIQUE,500,0.17,true
QuickSort_Hybrid,FEW_UNIQUE,500,0.083,true
QuickSort_Standard,RANDOM,1000,0.124,true
QuickSort_Hybrid,RANDOM,1000,0.094,true
QuickSort_Standard,SORTED,1000,0.095,true
QuickSort_Hybrid,SORTED,1000,0.077,true
QuickSort_Standard,REVERSED,1000,0.098,true
QuickSort_Hybrid,REVERSED,1000,0.068,true
QuickSort_Standard,NEARLY_SORTED,1000,0.105,true
QuickSort_Hybrid,NEARLY_SORTED,1000,0.095,true
QuickSort_Standard,FEW_UNIQUE,1000,0.524,true
QuickSort_Hybrid,FEW_UNIQUE,1000,0.185,true
QuickSort_Standard,RANDOM,5000,0.79,true
QuickSort_Hybrid,RANDOM,5000,0.637,true
QuickSort_Standard,SORTED,5000,0.565,true
QuickSort_Hybrid,SORTED,5000,0.411,true
QuickSort_Standard,REVERSED,5000,0.632,true
QuickSort_Hybrid,REVERSED,5000,0.458,true
QuickSort_Standard,NEARLY_SORTED,5000,0.658,true
QuickSort_Hybrid,NEARLY_SORTED,5000,0.479,true
QuickSort_Standard,FEW_UNIQUE,5000,11.773,true
QuickSort_Hybrid,FEW_UNIQUE,5000,1.235,true
QuickSort_Standard,RANDOM,10000,1.675,true
QuickSort_Hybrid,RANDOM,10000,1.378,true
QuickSort_Standard,SORTED,10000,1.237,true
QuickSort_Hybrid,SORTED,10000,1.158,true
QuickSort_Standard,REVERSED,10000,1.293,true
QuickSort_Hybrid,REVERSED,10000,1.031,true
QuickSort_Standard,NEARLY_SORTED,10000,1.402,true
QuickSort_Hybrid,NEARLY_SORTED,10000,1.077,true
QuickSort_Standard,FEW_UNIQUE,10000,47.465,true
QuickSort_Hybrid,FEW_UNIQUE,10000,3.042,true
QuickSort_Standard,RANDOM,25000,4.803,true
QuickSort_Hybrid,RANDOM,25000,3.987,true
QuickSort_Standard,SORTED,25000,3.292,true
QuickSort_Hybrid,SORTED,25000,2.442,true
QuickSort_Standard,REVERSED,25000,3.553,true
QuickSort_Hybrid,REVERSED,25000,2.845,true
QuickSort_Standard,NEARLY_SORTED,25000,3.69,true
QuickSort_Hybrid,NEARLY_SORTED,25000,2.998,true
QuickSort_Standard,FEW_UNIQUE,25000,283.08,true
QuickSort_Hybrid,FEW_UNIQUE,25000,6.904,true
QuickSort_Standard,RANDOM,50000,9.629,true
QuickSort_Hybrid,RANDOM,50000,8.697,true
QuickSort_Standard,SORTED,50000,6.879,true
QuickSort_Hybrid,SORTED,50000,5.629,true
QuickSort_Standard,REVERSED,50000,7.163,true
QuickSort_Hybrid,REVERSED,50000,6.378,true
QuickSort_Standard,NEARLY_SORTED,50000,7.788,true
QuickSort_Hybrid,NEARLY_SORTED,50000,6.679,true
QuickSort_Standard,FEW_UNIQUE,50000,1127.6,true
QuickSort_Hybrid,FEW_UNIQUE,50000,14.909,true
QuickSort_Standard,RANDOM,100000,20.385,true
QuickSort_Hybrid,RANDOM,100000,17.848,true
QuickSort_Standard,SORTED,100000,15.388,true
QuickSort_Hybrid,SORTED,100000,11.203,true
QuickSort_Standard,REVERSED,100000,15.361,true
QuickSort_Hybrid,REVERSED,100000,13.178,true
QuickSort_Standard,NEARLY_SORTED,100000,16.807,true
QuickSort_Hybrid,NEARLY_SORTED,100000,14.016,true
QuickSort_Standard,FEW_UNIQUE,100000,4744.01,true
QuickSort_Hybrid,FEW_UNIQUE,100000,34.01,true
